issue_number,title,url,labels,created_at
2975,[Bug]: 重复输入同一个视频，服务报内部错误，0.10.2rc1才有，0.9.1没有问题,https://github.com/vllm-project/vllm-ascend/issues/2975,,Unknown
2974,[Bug]: 0.10.2rc1 Qwen3-8B-W8A8 PP服务化报错,https://github.com/vllm-project/vllm-ascend/issues/2974,,Unknown
2970,"[Bug]: Mooncake transfer failed when using ""mooncake_connector"" after setting USE_ASCEND_DIRECT",https://github.com/vllm-project/vllm-ascend/issues/2970,,Unknown
2965,[Bug]: Error when deploying Qwen2.5-VL 72B with pipeline parallelism,https://github.com/vllm-project/vllm-ascend/issues/2965,,Unknown
2959,[Bug]: Why does the model deployment encounter Out Of Memory (OOM) errors when the parallelization approach changes?,https://github.com/vllm-project/vllm-ascend/issues/2959,,Unknown
2873,"[Bug]: v0.10.1rc1 run qwen3-coder failed, 910b(313T) machine crash and can not restart!",https://github.com/vllm-project/vllm-ascend/issues/2873,,Unknown
2845,"[Bug]: When I run the example.py on the Atlas 800I A2, it still reports the error: <code>call aclnnSwiGlu failed</code>.",https://github.com/vllm-project/vllm-ascend/issues/2845,,Unknown
2822,[Bug]: start failed due to _forward_decode_only shape error when test Phi-4-mini-instruct accuracy,https://github.com/vllm-project/vllm-ascend/issues/2822,,Unknown
2811,[Bug]: DeepSeek0528量化mtp浮点权重ceval精度不达标,https://github.com/vllm-project/vllm-ascend/issues/2811,,Unknown
2807,"[Bug]: vllm-ascend 0.10.1rc1官方镜像部署量化模型Qwen3-30B-A3B-W8A8出现call aclnnGroupedMatmulV5 failed,error code is 161002",https://github.com/vllm-project/vllm-ascend/issues/2807,,Unknown
2715,"[Bug]: After enduring 2-3 concurrent occurrences, the program crashes(deepseek-v3.1)",https://github.com/vllm-project/vllm-ascend/issues/2715,,Unknown
2701,[Bug]: Enabling Expert Parallelism (EP) in Eager Mode causes an HCCL communication error.,https://github.com/vllm-project/vllm-ascend/issues/2701,,Unknown
2700,[Bug]: vllm-Ascend拉起medgamm模型，首次推理调用正常，二次推理报错,https://github.com/vllm-project/vllm-ascend/issues/2700,,Unknown
2694,[Bug]: Can't catch the real error but raise TBE ERROR when generate attn_mask,https://github.com/vllm-project/vllm-ascend/issues/2694,,Unknown
2691,[Bug]: prefill-decode (PD) disaggregation  for deepseek  in  910B3  profiling is so poor，please help,https://github.com/vllm-project/vllm-ascend/issues/2691,,Unknown
2673,[Bug]: function-call accuracy problem with quantized deepseek model,https://github.com/vllm-project/vllm-ascend/issues/2673,,Unknown
2671,[Bug]: PD分离，D节点先申请kv cache再编图，占用计算预留空间，压测场景D节点触发重计算OOM,https://github.com/vllm-project/vllm-ascend/issues/2671,,Unknown
2593,[Bug]: (0.9.2rc1) Run bge-m3 with 310P3 with TP=2 got shape mismatch in rank1,https://github.com/vllm-project/vllm-ascend/issues/2593,,Unknown
